price,comments,free_shipping2,bestseller2,sales,sellername
27.99,203.0,0,0,729.0,AntiqueMeUp
13.61,68.0,0,0,391.0,AntiquePlovdiv
27.0,289.0,0,0,1098.0,AntiqueShack
249.5,32.0,0,0,136.0,AntiqueShaty
30.0,2.0,0,0,26.0,AntiqueShopNS
29.0,84.0,0,0,385.0,AntiqueTalentArt
19.99,313.0,0,0,744.0,AntiqueVintageEstate
42.0,153.0,0,0,580.0,Antiqueandmod
39.99,111.0,1,0,291.0,AntiquesAtlanta
4.2,832.0,0,0,2021.0,AntiquesByIndiaRose
6.4,1362.0,0,0,3074.0,AntiquesGaloreGal
23.651739130434784,118.0,14,0,353.0,AntiquesNOldies
3.0,238.0,0,0,603.0,Antqnjwlry
148.88,460.0,0,0,1319.0,Apache011
25.0,97.0,0,0,306.0,ApiaryAntiques
5.656666666666666,73.0,0,0,284.0,Apocalyptictronics
25.0,336.0,1,0,1409.0,AppalachianAxeworks
15.0,625.0,1,0,2205.0,AppalachianRevival
9.76923076923077,621.0,0,0,1826.0,AppleberryCottage
134.0,62.0,0,0,167.0,Appleschmapple
325.0,200.0,0,0,825.0,AppleysVintage
36.0,667.0,0,0,2465.0,ApronForest
324.95,0.0,0,0,2.0,AquaSonicWaterphone
50.0,0.0,0,0,0.0,AraucariaHandmade
14.0,53.0,0,0,1055.0,ArazMaterials
250.0,0.0,0,0,1.0,ArcadeHeadquarters
6.75,0.0,0,0,43.0,ArcaneAccessoriesCo
90.0,21.0,0,0,79.0,Archaeotype
80.0,28.0,2,0,116.0,ArchaicEmpire
34.39,21.0,0,0,86.0,ArchaicWonderland
48.95,672.0,0,0,2410.0,ArchelausRecyclers
15.0,184.0,5,0,977.0,ArchiveBrooklyn
22.69666666666667,70.0,0,0,245.0,ArchivistandCo
24.29,2.0,0,0,69.0,Arctic3Design
198.8,16.0,5,0,135.0,ArdRighArt
21.25,41.0,0,0,141.0,ArianasOriginals
180.0,0.0,0,0,3.0,AridZona
208.33333333333334,6.0,0,0,23.0,ArmenianDudukGGA
12.0,324.0,0,0,1038.0,ArmoryArtandAntiques
31.928571428571427,4.0,0,0,15.0,AroostookAudio
1.5,82.0,0,0,543.0,AroundDClockShop
151.3,6.0,0,0,36.0,ArrangementsUSSR
900.0,54.0,0,0,192.0,ArtAndAntiquesStudio
50.0,280.0,0,0,2129.0,ArtAndean
22.4126865671642,95.0,67,0,1311.0,ArtAttackNYC
125.0,0.0,0,0,0.0,ArtByAES
400.0,4.0,2,0,29.0,ArtByCreekmore
19.95,71.0,0,0,205.0,ArtCreationsbyVicky
195.47619047619048,12.0,0,0,31.0,ArtDKStore
200.0,0.0,0,0,3.0,ArtExplode
18.494999999999997,0.0,0,0,4.0,ArtGreenShop
10.0,192.0,0,0,684.0,ArtHappy
442.2733333333333,1.0,0,0,8.0,ArtPortGr
100.4,37.0,0,0,81.0,ArtPotteryBaiTerek
40.08862068965515,581.0,28,2,3487.0,ArtTributeCo
80.89,59.0,0,0,268.0,ArtemisLeathercraft
19.796666666666663,78.0,0,0,382.0,ArthouseAttic
195.0,11.0,0,0,27.0,ArthurFrancisLeather
6.102173913043478,91.0,0,0,216.0,ArthursPaperEmpire
87.9975,245.0,1,0,790.0,Artifactorium
11.600000000000001,23.0,0,0,412.0,ArtisanStudioWorks
27.4,0.0,0,0,0.0,ArtisticDesignsBySam
56.333333333333336,3.0,0,0,20.0,ArtsCraftsArmenia
19.95,279.0,0,0,944.0,ArtworksEclectic
27.06,71.0,0,0,418.0,ArtyMargit
375.0,14.0,0,0,136.0,Artzuli
21.65,40.0,0,0,151.0,AsFoundByUs4U
12.0,988.0,0,0,3438.0,AsTimeGoesByVintage
17.5,207.0,0,0,783.0,AsWeSeeIt
8.49,76.0,0,0,196.0,AshleysEclecticAttic
3.5,0.0,0,0,2.0,AshysTreasures
12.11,12.0,0,0,124.0,AsterAntiques
457.985,16.0,0,0,109.0,Atelier1053
950.0,0.0,0,0,1.0,AtelierDeux
22.2,113.0,0,0,312.0,AtelierNostalgi
275.0,14.0,0,0,78.0,Atelierdubonbouleau
12.99,300.0,0,0,3373.0,AtexxMusic
28.67,48.0,0,0,111.0,AthenasAddictions
41.68857142857143,7.0,7,0,55.0,AthletinStores
22.11,0.0,0,0,0.0,Aticolia
29.1,0.0,0,0,0.0,Atlantide2
190.0,1.0,0,0,8.0,AtmaMusic
20.0,92.0,0,0,404.0,AtomicAcres
23.0,89.0,1,0,324.0,AtomicFrostedBombs
10.2,556.0,0,0,1832.0,AtomicPhenomic
43.326666666666675,116.0,2,0,367.0,AtomicPoodleVintage
21.79,1430.0,0,0,4039.0,AtomicRobotComics
8.65,4.0,0,0,31.0,AttentiveTones
10.5,224.0,0,0,564.0,AttiCuties
5.7042857142857155,313.0,1,0,1064.0,AtticEmporium
39.0,105.0,0,0,500.0,AtticEsoterica
40.0,4.0,1,0,16.0,AtticHorder
5.709999999999999,174.0,0,0,804.0,AtticToBasementFinds
5.0,87.0,0,0,353.0,Atticsandbasements
165.0,238.0,0,0,839.0,Atticsnoops
6.950000000000001,0.0,7,0,0.0,Attipas
13.0,2200.0,0,0,6322.0,AttysVintage
38.41,4.0,0,0,11.0,AuPetitSud
150.0,217.0,0,0,741.0,AuburnAmyFreshPicks
10.031666666666668,0.0,0,0,4.0,AudioSolutions
1.3499999999999999,18.0,0,0,124.0,AudioYoga
10.81,0.0,0,0,4.0,Audioboxpro
0.99,0.0,0,0,9.0,AudrinaRoseDesign
2.99,3.0,0,0,13.0,AuntBettysTreasures
8.15,75.0,5,0,225.0,AuntLizzysAttic
5.0,0.0,0,0,8.0,AuntMaryGiftShoppe
68.0,99.0,0,0,287.0,AuntRodysGoose
22.0,3344.0,0,0,10408.0,AuntSistersPicks
70.0,2.0,1,0,5.0,AuntTeaquesTreasures
30.0,209.0,0,0,788.0,AuntieAnnesGems
